Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (km),Workout Time (seconds),Avg Pace (min/km),Max Pace (min/km),Avg Speed (km/h),Max Speed (km/h),Avg Heart Rate,Steps,Notes,Source,Link
"April 27, 2021","April 27, 2021",Run,623,7.848947716,2869,6.091612483,0.481645938,9.849603709,124.5728817,0,7513,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5708668504
"April 25, 2021","April 25, 2021",Bike Ride,1235,60.22535397,14113,3.905634843,0.156174193,15.36242767,384.1874277,0,,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5703080491
"April 23, 2021","April 23, 2021",Bike Ride,250,9.996810405,2132,3.553901465,0.177321318,16.88282323,338.369404,0,,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5696633653
"April 21, 2021","April 21, 2021",Run,234,2.977930138,1063,5.951356578,0.546601597,10.08173549,109.7691699,0,2790,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5690603659
"April 20, 2021","April 20, 2021",Bike Ride,376,12.25956416,2045,2.780269476,0.219852934,21.5806593,272.9093368,0,,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5687565154
"April 19, 2021","April 19, 2021",Bike Ride,485,21.82640613,5542,4.231314126,0.03248423,14.17999436,1847.044109,0,,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5685108406
"April 18, 2021","April 18, 2021",Run,719,8.791154254,3478,6.592872624,0.53205654,9.100711572,112.7699528,0,9048,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5680964884
"April 14, 2021","April 14, 2021",Run,333,4.346274874,1452,5.566466834,0.524740515,10.77882284,114.3422819,0,3834,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5668798630
"April 13, 2021","April 13, 2021",Walk,213,3.524913976,3296,15.58405164,0.052473865,3.850081932,1143.426037,0,5508,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5667417865
"April 10, 2021","April 10, 2021",Hike,963,5.638304517,6288,18.58459099,1.163349787,3.228472812,51.57512997,0,,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5656440112
"April 10, 2021","April 10, 2021",Hike,586,3.863439487,3829,16.51474141,1.125228665,3.633126267,53.32239475,0,,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5656155898
"April 8, 2021","April 8, 2021",Run,474,6.175648385,2072,5.592570637,0.516198526,10.72851475,116.2342267,0,5468,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5649751777
"April 5, 2021","April 5, 2021",Run,477,6.190808406,2089,5.620544769,0.539222192,10.67511671,111.2713316,0,5510,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5639206000
"April 2, 2021","April 2, 2021",Bike Ride,591,26.77095464,5861,3.648113766,0.134916463,16.44685194,444.7212929,0,,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5630551135
"March 31, 2021","March 31, 2021",Bike Ride,269,12.52462312,3071,4.086286089,0.263835451,14.68325232,227.4147913,0,,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5625388831
"March 30, 2021","March 30, 2021",Run,308,3.885294378,1422,6.097478227,0.278953412,9.840124673,215.0888256,0,3724,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5620439779
"March 30, 2021","March 30, 2021",Bike Ride,25,1.258684036,287,3.797945001,0.267766866,15.79802882,224.0754025,0,,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5620412638
"March 28, 2021","March 28, 2021",Bike Ride,1387,69.5185109,15853,3.80082195,0.140155243,15.78607139,428.0967694,0,,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5615624194
"March 26, 2021","March 26, 2021",Bike Ride,142,6.933874717,1619,3.889100155,0.233859883,15.42773485,256.5632298,0,,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5608213684
"March 25, 2021","March 25, 2021",Bike Ride,199,9.635319556,2269,3.923573829,0.105623161,15.29217981,568.0581984,0,,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5604914761
"March 24, 2021","March 24, 2021",Run,293,3.722702354,1331,5.95675008,0.518862965,10.07261051,115.6374819,0,3492,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5601540934
"March 23, 2021","March 23, 2021",Bike Ride,384,12.28243294,1988,2.696123389,0.188760762,22.25416977,317.8615334,0,,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5597903581
"March 19, 2021","March 19, 2021",Run,471,5.963472472,2154,6.020484123,0.241832697,9.965975374,248.1045178,0,5647,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5584786735
"March 18, 2021","March 18, 2021",Run,467,6.003448577,2079,5.771488259,0.489771609,10.39592772,122.5060012,0,5471,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5581980382
"March 16, 2021","March 16, 2021",Bike Ride,379,12.58376651,2166,2.868174859,0.138480027,20.91921892,433.2756384,0,,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5575322443
"March 13, 2021","March 13, 2021",Run,699,8.486489341,3414,6.704346616,0.285280835,8.949384956,210.31873,0,8870,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5566559839
"March 13, 2021","March 11, 2021",Bike Ride,380,12.3882795,2063,2.774235962,0.181976631,21.62765215,329.7127427,0,,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5566559992
"March 9, 2021","March 9, 2021",Bike Ride,380,12.35721916,2054,2.768612553,0.202162496,21.67158724,296.7920018,0,,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5552707384
"March 8, 2021","March 8, 2021",Run,262,3.335542468,1189,5.939569166,0.103895127,10.10173963,577.5050477,0,3121,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5549623198
"March 6, 2021","March 6, 2021",Run,413,5.132037082,2335,7.581412054,0.690995834,7.914110054,86.83086804,0,6011,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5542333111
"March 5, 2021","March 5, 2021",Bike Ride,162,7.497660108,1850,4.109736638,0.206619592,14.59948596,290.388422,0,,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5539326421
"March 3, 2021","March 3, 2021",Bike Ride,371,12.25663516,2090,2.842381741,0.179085391,21.10912151,335.0364526,0,,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5532379567
"March 1, 2021","March 1, 2021",Bike Ride,274,12.52216082,3131,4.162279786,0.245454048,14.41518389,244.4448695,0,,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5525549167
"Feb. 28, 2021","Feb. 28, 2021",Bike Ride,512,22.4194494,5845,4.344590094,0.19435621,13.81027976,308.7124128,0,,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5523416140
"Feb. 26, 2021","Feb. 26, 2021",Bike Ride,378,12.43944054,2108,2.82354798,0.148627018,21.24993911,403.6958957,0,,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5515879285
"Feb. 25, 2021","Feb. 25, 2021",Run,421,5.283106203,1958,6.175404388,0.486304358,9.715963784,123.3795531,0,5122,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5512882156
"Feb. 24, 2021","Feb. 24, 2021",Bike Ride,379,12.3603091,2066,2.785327438,0.204740565,21.54139131,293.0534957,0,,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5509153903
"Feb. 23, 2021","Feb. 23, 2021",Bike Ride,404,13.39395856,2369,2.946467629,0.188053642,20.3633515,319.0588854,0,,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5505366850
"Feb. 21, 2021","Feb. 21, 2021",Run,548,6.727074013,2638,6.534463732,0.534556316,9.182128285,112.2425707,0,6868,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5499476011
"Feb. 20, 2021","Feb. 20, 2021",Run,678,8.437082481,3183,6.288090054,0.510316626,9.541832763,117.5740055,0,8313,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5497104691
"Feb. 18, 2021","Feb. 18, 2021",Run,383,4.895463514,1722,5.860835222,0.053146251,10.23745561,1128.961253,0,4525,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5490691363
